date,product_id,sales
2023-01-01 00:00:00,Product_1,130
2023-01-02 00:00:00,Product_1,134
2023-01-03 00:00:00,Product_1,130
2023-01-04 00:00:00,Product_1,188
2023-01-05 00:00:00,Product_1,96
2023-01-06 00:00:00,Product_1,124
2023-01-07 00:00:00,Product_1,138
2023-01-08 00:00:00,Product_1,147
2023-01-09 00:00:00,Product_1,118
2023-01-10 00:00:00,Product_1,114
2023-01-11 00:00:00,Product_1,220
2023-01-12 00:00:00,Product_1,118
2023-01-13 00:00:00,Product_1,128
2023-01-14 00:00:00,Product_1,153
2023-01-15 00:00:00,Product_1,154
2023-01-16 00:00:00,Product_1,104
2023-01-17 00:00:00,Product_1,117
2023-01-18 00:00:00,Product_1,112
2023-01-19 00:00:00,Product_1,116
2023-01-20 00:00:00,Product_1,113
2023-01-21 00:00:00,Product_1,157
2023-01-22 00:00:00,Product_1,148
2023-01-23 00:00:00,Product_1,116
2023-01-24 00:00:00,Product_1,112
2023-01-25 00:00:00,Product_1,123
2023-01-26 00:00:00,Product_1,140
2023-01-27 00:00:00,Product_1,92
2023-01-28 00:00:00,Product_1,160
2023-01-29 00:00:00,Product_1,142
2023-01-30 00:00:00,Product_1,97
2023-01-31 00:00:00,Product_1,97
2023-02-01 00:00:00,Product_1,107
2023-02-02 00:00:00,Product_1,123
2023-02-03 00:00:00,Product_1,138
2023-02-04 00:00:00,Product_1,178
2023-02-05 00:00:00,Product_1,155
2023-02-06 00:00:00,Product_1,124
2023-02-07 00:00:00,Product_1,125
2023-02-08 00:00:00,Product_1,113
2023-02-09 00:00:00,Product_1,130
2023-02-10 00:00:00,Product_1,122
2023-02-11 00:00:00,Product_1,153
2023-02-12 00:00:00,Product_1,153
2023-02-13 00:00:00,Product_1,127
2023-02-14 00:00:00,Product_1,127
2023-02-15 00:00:00,Product_1,123
2023-02-16 00:00:00,Product_1,111
2023-02-17 00:00:00,Product_1,131
2023-02-18 00:00:00,Product_1,177
2023-02-19 00:00:00,Product_1,152
2023-02-20 00:00:00,Product_1,127
2023-02-21 00:00:00,Product_1,141
2023-02-22 00:00:00,Product_1,121
2023-02-23 00:00:00,Product_1,130
2023-02-24 00:00:00,Product_1,117
2023-02-25 00:00:00,Product_1,166
2023-02-26 00:00:00,Product_1,162
2023-02-27 00:00:00,Product_1,133
2023-02-28 00:00:00,Product_1,112
2023-03-01 00:00:00,Product_1,135
2023-03-02 00:00:00,Product_1,100
2023-03-03 00:00:00,Product_1,135
2023-03-04 00:00:00,Product_1,147
2023-03-05 00:00:00,Product_1,157
2023-03-06 00:00:00,Product_1,108
2023-03-07 00:00:00,Product_1,130
2023-03-08 00:00:00,Product_1,110
2023-03-09 00:00:00,Product_1,131
2023-03-10 00:00:00,Product_1,122
2023-03-11 00:00:00,Product_1,180
2023-03-12 00:00:00,Product_1,172
2023-03-13 00:00:00,Product_1,139
2023-03-14 00:00:00,Product_1,112
2023-03-15 00:00:00,Product_1,120
2023-03-16 00:00:00,Product_1,112
2023-03-17 00:00:00,Product_1,136
2023-03-18 00:00:00,Product_1,143
2023-03-19 00:00:00,Product_1,156
2023-03-20 00:00:00,Product_1,113
2023-03-21 00:00:00,Product_1,127
2023-03-22 00:00:00,Product_1,108
2023-03-23 00:00:00,Product_1,160
2023-03-24 00:00:00,Product_1,218
2023-03-25 00:00:00,Product_1,143
2023-03-26 00:00:00,Product_1,136
2023-03-27 00:00:00,Product_1,121
2023-03-28 00:00:00,Product_1,109
2023-03-29 00:00:00,Product_1,117
2023-03-30 00:00:00,Product_1,134
2023-03-31 00:00:00,Product_1,111
2023-04-01 00:00:00,Product_1,255
2023-04-02 00:00:00,Product_1,157
2023-04-03 00:00:00,Product_1,135
2023-04-04 00:00:00,Product_1,117
2023-04-05 00:00:00,Product_1,129
2023-04-06 00:00:00,Product_1,141
2023-04-07 00:00:00,Product_1,95
2023-04-08 00:00:00,Product_1,133
2023-04-09 00:00:00,Product_1,165
2023-04-10 00:00:00,Product_1,147
2023-04-11 00:00:00,Product_1,118
2023-04-12 00:00:00,Product_1,128
2023-04-13 00:00:00,Product_1,128
2023-04-14 00:00:00,Product_1,140
2023-04-15 00:00:00,Product_1,149
2023-04-16 00:00:00,Product_1,166
2023-04-17 00:00:00,Product_1,146
2023-04-18 00:00:00,Product_1,124
2023-04-19 00:00:00,Product_1,106
2023-04-20 00:00:00,Product_1,142
2023-04-21 00:00:00,Product_1,188
2023-04-22 00:00:00,Product_1,171
2023-04-23 00:00:00,Product_1,174
2023-04-24 00:00:00,Product_1,152
2023-04-25 00:00:00,Product_1,109
2023-04-26 00:00:00,Product_1,117
2023-04-27 00:00:00,Product_1,130
2023-04-28 00:00:00,Product_1,129
2023-04-29 00:00:00,Product_1,160
2023-04-30 00:00:00,Product_1,161
2023-05-01 00:00:00,Product_1,131
2023-05-02 00:00:00,Product_1,121
2023-05-03 00:00:00,Product_1,104
2023-05-04 00:00:00,Product_1,137
2023-05-05 00:00:00,Product_1,108
2023-05-06 00:00:00,Product_1,143
2023-05-07 00:00:00,Product_1,152
2023-05-08 00:00:00,Product_1,109
2023-05-09 00:00:00,Product_1,124
2023-05-10 00:00:00,Product_1,110
2023-05-11 00:00:00,Product_1,134
2023-05-12 00:00:00,Product_1,141
2023-05-13 00:00:00,Product_1,150
2023-05-14 00:00:00,Product_1,156
2023-05-15 00:00:00,Product_1,101
2023-05-16 00:00:00,Product_1,94
2023-05-17 00:00:00,Product_1,139
2023-05-18 00:00:00,Product_1,120
2023-05-19 00:00:00,Product_1,135
2023-05-20 00:00:00,Product_1,166
2023-05-21 00:00:00,Product_1,159
2023-05-22 00:00:00,Product_1,137
2023-05-23 00:00:00,Product_1,132
2023-05-24 00:00:00,Product_1,128
2023-05-25 00:00:00,Product_1,101
2023-05-26 00:00:00,Product_1,126
2023-05-27 00:00:00,Product_1,167
2023-05-28 00:00:00,Product_1,157
2023-05-29 00:00:00,Product_1,108
2023-05-30 00:00:00,Product_1,91
2023-05-31 00:00:00,Product_1,131
2023-06-01 00:00:00,Product_1,191
2023-06-02 00:00:00,Product_1,125
2023-06-03 00:00:00,Product_1,153
2023-06-04 00:00:00,Product_1,157
2023-06-05 00:00:00,Product_1,146
2023-06-06 00:00:00,Product_1,89
2023-06-07 00:00:00,Product_1,114
2023-06-08 00:00:00,Product_1,123
2023-06-09 00:00:00,Product_1,143
2023-06-10 00:00:00,Product_1,150
2023-06-11 00:00:00,Product_1,151
2023-06-12 00:00:00,Product_1,142
2023-06-13 00:00:00,Product_1,103
2023-06-14 00:00:00,Product_1,100
2023-06-15 00:00:00,Product_1,106
2023-06-16 00:00:00,Product_1,102
2023-06-17 00:00:00,Product_1,157
2023-06-18 00:00:00,Product_1,148
2023-06-19 00:00:00,Product_1,124
2023-06-20 00:00:00,Product_1,115
2023-06-21 00:00:00,Product_1,117
2023-06-22 00:00:00,Product_1,105
2023-06-23 00:00:00,Product_1,205
2023-06-24 00:00:00,Product_1,171
2023-06-25 00:00:00,Product_1,156
2023-06-26 00:00:00,Product_1,104
2023-06-27 00:00:00,Product_1,108
2023-06-28 00:00:00,Product_1,124
2023-06-29 00:00:00,Product_1,107
2023-06-30 00:00:00,Product_1,119
2023-07-01 00:00:00,Product_1,154
2023-07-02 00:00:00,Product_1,127
2023-07-03 00:00:00,Product_1,100
2023-07-04 00:00:00,Product_1,116
2023-07-05 00:00:00,Product_1,121
2023-07-06 00:00:00,Product_1,212
2023-07-07 00:00:00,Product_1,113
2023-07-08 00:00:00,Product_1,135
2023-07-09 00:00:00,Product_1,126
2023-07-10 00:00:00,Product_1,113
2023-07-11 00:00:00,Product_1,107
2023-07-12 00:00:00,Product_1,117
2023-07-13 00:00:00,Product_1,92
2023-07-14 00:00:00,Product_1,99
2023-07-15 00:00:00,Product_1,145
2023-07-16 00:00:00,Product_1,143
2023-07-17 00:00:00,Product_1,101
2023-07-18 00:00:00,Product_1,90
2023-07-19 00:00:00,Product_1,98
2023-07-20 00:00:00,Product_1,82
2023-07-21 00:00:00,Product_1,115
2023-07-22 00:00:00,Product_1,138
2023-07-23 00:00:00,Product_1,140
2023-07-24 00:00:00,Product_1,98
2023-07-25 00:00:00,Product_1,126
2023-07-26 00:00:00,Product_1,106
2023-07-27 00:00:00,Product_1,101
2023-07-28 00:00:00,Product_1,92
2023-07-29 00:00:00,Product_1,151
2023-07-30 00:00:00,Product_1,129
2023-07-31 00:00:00,Product_1,109
2023-08-01 00:00:00,Product_1,93
2023-08-02 00:00:00,Product_1,95
2023-08-03 00:00:00,Product_1,102
2023-08-04 00:00:00,Product_1,134
2023-08-05 00:00:00,Product_1,134
2023-08-06 00:00:00,Product_1,150
2023-08-07 00:00:00,Product_1,100
2023-08-08 00:00:00,Product_1,91
2023-08-09 00:00:00,Product_1,92
2023-08-10 00:00:00,Product_1,97
2023-08-11 00:00:00,Product_1,111
2023-08-12 00:00:00,Product_1,140
2023-08-13 00:00:00,Product_1,130
2023-08-14 00:00:00,Product_1,107
